id,size,coRE,suspension,thrust,weight,crew
82c7fd0b-3c0f-4e30-9b79-9e5aacf5cc05,Cldh,22.341092112049143,17.490761181137238,28.07092242381264,64.57689965835432,7
83fbe3a6-4d77-4851-b244-48e90cb64633,HpFj,40.06168774920115,99.08187828922188,47.335855982140544,51.795721035485634,3
3f06e299-b205-47f8-9aa2-f7ab4d20e107,613,98.98318441160106,72.18237534098478,98.30378329867784,30.32543479452564,7
836383a4-e825-4d22-8f7d-1d2c12be8187,fcrv,37.81909408958148,95.1465550507206,58.69631303091833,46.166939825862,8
a6c5a6c0-0de4-4ffe-857a-73ab8354f358,618,76.4577774313896,41.28421543470453,68.94106981256898,45.07290850744419,5
df971af0-941b-450e-9be8-7fc86b2a04d4,oDpn,96.50762066587902,75.2014471120488,20.855494049556444,9.45134268288841,9
bf2cd0d1-5e88-4d37-83ed-896dbc3e0c2e,644,78.14454552952014,53.59467996579509,9.882565649141684,40.818485726453325,5
e7ff1a00-e45e-4f06-be84-ddec61dd710b,732,0.0801795276723082,75.09216861731167,82.74874801525573,44.20171255709619,9
e69a074a-8584-49de-b47d-c6c178db41c3,941,69.89715187865959,70.57991709042513,24.27411656732623,66.94108773907647,2
9c04ac2d-54c9-48ad-805c-61c25ae0ae7e,309,12.586016643544884,38.519241893516245,32.973826159527405,65.83172738676724,9
d5f11959-967d-4363-9453-51bea2e279a1,717,60.4458925293424,76.4606932732355,50.70606117832275,15.222996898595976,3
bff75d26-414c-4bef-bebb-e3089ca34246,672,90.02830671001931,91.68557269796872,58.345720556719805,83.15289842310007,0
79eacc85-2560-4854-bc7b-7f8a897091df,dxlu,73.38306474620305,70.46528798868759,28.074653806340574,71.53656156342973,2
2cf04f7c-a33d-4f69-a622-b1ea8f008863,59,13.259846213561952,78.45749774926591,14.602964773841007,37.866910919025145,5
4fc10b08-a7ed-46fc-928f-40494c60c89b,952,72.30711096233844,7.04385561544314,48.92149398071971,72.76027431878576,7
bfa8ddfa-2083-4e00-bd7f-35c477c182c5,125,44.332330387243736,75.90023865240745,98.64499808621277,25.274256885982883,8
282f1b1e-cc29-4c9f-b1e9-09f5e9fa2f76,echr,82.90793404412419,72.96791403779851,87.07618272490403,53.25471857327906,10
22488417-4dbb-417b-8141-02d780ca53b3,965,33.74009336018909,40.2769282312657,29.68810944690981,79.60938432127064,8
dff2320f-1173-4c00-a962-2fed5516c20c,512,73.09503235650783,1.25209049947409,61.80397794462225,6.658352537175549,4
56e2bb0e-448e-48ff-85a5-606f3725a832,506,28.698654555897896,65.05551268189642,66.87762017296508,41.251587437885775,1
16461dcd-e68f-4085-baf9-d218d31a2f9f,116,63.03776749329504,80.2182056426578,43.07119011698156,99.53066343828316,7
35761925-1759-4f1e-bebb-eedfabdf60d9,155,67.89255045309433,53.366432299061294,16.20987104641951,64.61695451446602,8
6fc03d14-0c56-42b8-80d2-11f438a18925,852,35.52025392079721,67.58701900315512,90.18511742420958,50.77870067771399,1
9a5dfa47-dba7-4195-95c8-ddfad25ed35b,720,2.366615661818328,82.84265365047958,95.41649850601856,8.450904197067333,7
cbbd628a-74e7-434d-b302-3be3c2b78ad9,731,53.732968071025255,22.26531825247634,34.73859336371664,57.700950235140205,2
6437956b-a4cb-4763-a352-f12b09882bb3,226,51.37227411800364,66.84770164785313,67.49555910051008,54.17848978741534,3
4670810c-1281-4bcf-a759-1001a111fef7,490,68.21212148429235,36.53274680629775,39.49743899606419,6.420939503263112,10
69ecce4c-48b4-406a-8e2d-31d075e197c5,FhFe,92.75047571709275,41.33475852346753,0.6363050380635005,67.96406420358417,5
3f677b2d-76df-4acd-8651-9c605cf249d8,172,23.883189656624825,34.181611076186634,85.99429391434572,51.07035644979598,10
5174e40c-4235-4d76-89b7-a4cbc9d07f00,33,92.50214243472286,67.88954973184231,53.15935592464872,3.17974018701348,0
ae7924fb-3028-4a8c-bbe7-c52edf2bca64,692,46.6218234424414,58.79259917310369,24.86759469299773,24.123702313625984,7
db2a5ecd-1342-4828-982c-7494d0bedd8a,201,66.77521389420147,51.47759823221018,60.86984850167465,19.171345170062335,3
ab3ea1cf-a783-467c-ad64-6b8446ce275b,968,10.790703553098036,77.3592616739203,70.99508652098427,99.2565980299094,4
56e33237-fd36-4d8f-b858-59cf5d1e4f43,555,64.74773476021261,86.62915175699513,6.12687867743481,31.721983983817125,7
