id,size,core,SPEED,force,clones
ab7cb266-0c70-42dd-9d44-27347d0a841b,185,80.04458381574075,62.24261083828808,57.44286195861491,6
7019b262-7c0a-4426-9cf1-fc37383d0554,kqzf,74.78895073950386,27.108212718588486,30.1856501731392,9
242b59b8-6e69-446f-841a-1806310b4207,59,91.58133788557812,64.5277968678746,69.09590460805633,7
c8160fe5-fa27-4b64-a86d-1a1049fa7996,967,49.709964301297774,40.22831048268364,17.393660946476885,8
3cb0019f-63e3-4549-b0e9-875b9219a894,491,46.3000716156813,18.217581117851505,35.915959419005524,8
ab01cf67-6ef6-41d6-9bfa-c0bed25b74e8,262,47.63019180989018,61.666199561038425,74.34733550633665,1
dff4ee7a-023b-4b5e-938d-e72a305148bd,382,70.96204701660358,43.8117228537696,41.92396208351597,4
b9f5e8c4-0431-4886-af61-3e651720cc19,622,76.11232081201443,83.46691792616959,11.96062176530558,9
09dd9376-6efa-4786-9597-e289df953541,233,87.31581795310403,37.29447525241958,7.584897488967135,10
a071cd6c-a9c9-47ef-9314-bc434c09971f,126,30.289247144041887,30.80647111615904,33.16612895786272,1
71e95878-9f78-4a74-aebd-caece0289e81,647,92.10041535702187,60.904381347170336,74.50996178804333,2
15158019-a42f-4cd3-ba14-39acaeaa86e8,747,39.932208820740286,20.040772571554243,69.850064963261,8
8e688f22-de15-4d0b-8d23-1c2f684edf16,533,71.04062600343076,46.63252966460666,80.89884787388503,1
7ab7c0b6-c821-44c5-83b5-0c395d5c1e45,376,54.59314552981742,62.46690408857562,21.95846724415421,1
f9cd00b5-2f15-479e-b12e-f5e80bb96770,392,27.05300483188112,1.9567388860080916,10.152082669423168,4
7024bba9-bd7f-4099-a8d8-b5dfc1d9a1a2,89,15.936672258385986,71.77140236418713,65.51013122294715,0
947e4c6e-8614-4df1-8e95-e6cbf3b517af,986,16.135240192498067,10.262784056065732,20.92030891252812,10
aee39d71-2aa6-47f5-ad04-31180918c97e,602,29.765987454907705,12.336359341301396,18.110132404789137,7
ec4c4785-0bef-4f44-83b6-a2eaadcfbdc7,uhzf,96.31091911875184,90.01496176942072,18.72796375610729,10
e3a0c598-35ed-447c-84f6-68e503acafeb,455,52.097994722412565,62.836218421497456,31.19800811925202,3
b62b59fb-6c9e-45ae-8a0e-0720b6ad1e59,410,72.77003111174851,49.13778139931429,67.44350750623737,5
d97e3a74-8092-4cc0-9921-6fe0bedc8026,489,31.814436431657445,77.67407708841488,18.025310830083296,8
6b50ca44-651e-4e78-9167-16045bddf2b8,IgAj,0.1657748393862124,63.28548449864383,17.539669509651812,4
9c01d27b-efe9-45a5-b558-52cf6fdb2ecb,Euii,6.979977431763807,3.3057020096718515,83.92381539892901,10
f7a46e41-463b-4450-9df8-bcfa815d691c,962,49.76246076849269,50.81950221723843,25.834445303026037,6
c7669c0d-6983-4be8-b642-647768f1a909,713,37.89921646058263,33.15203606397936,9.153011196506998,3
b31111e8-3676-4425-ab64-9276597ee6a3,eijE,33.95364317639184,80.05421566598714,62.3806596628493,7
e2f759b9-ff41-4bca-965e-7ebe01f9d5c0,583,15.450541119278826,82.93265370972382,53.67604770318689,9
d8c66282-305a-4a09-be1a-293b462d2a77,395,0.5383982554511224,58.20950392059817,97.48618518668827,3
91b86bdb-fed5-4274-a98d-1a55dabb43a1,264,70.7802297743704,93.8814872891816,44.56018482947643,6
65f47426-e091-404d-b625-59668ce2dbb0,450,63.19373209499407,22.143743658380288,35.907913008714,2
0d4f4530-0493-429f-a335-5dcaf474dfde,251,73.48611876272916,7.721371756477269,69.09604580588712,5
57788f13-cdb3-4929-83f0-7a150ea1eb0b,801,5.494689400792985,22.17952951433404,90.01218225763827,0
5d61ef32-63d4-4757-b616-67485cd421a0,252,95.02211251505447,92.48693603963704,93.96316482518895,0
d3683cd8-b913-46ea-9728-5c4da3e91ee6,925,4.324653117333099,9.390773197448254,18.691254287613045,0
c3e525f6-9fb0-4529-98e6-30e96d21bdda,kypg,18.59140450767637,21.46984914508109,50.94302192729446,9
4f54738e-99ac-475a-92f5-3ae01d83f06b,503,15.855719663445411,24.03014011574871,14.460102571765145,6
f43d3343-3051-4120-bbd6-1e22e4e15337,633,65.78931041571823,26.576748278595584,17.074294775846568,8
bdef977f-9701-4011-ba71-9ba2d5c6759e,670,81.37063133702225,22.403354151992115,14.447381086180112,1
bcfef7ae-2f04-4404-889f-5b38303ca831,vblh,35.18345753968492,34.066195653119415,94.91916310597784,5
82fb8a2b-b0f1-4fc7-8236-b86e0644b424,811,75.89595820551358,8.82636395603511,37.40607064340122,2
0f0d184b-4fb1-49b6-be04-61c3e4e9a6dc,30,19.886718978055683,37.04645561303707,26.11096062833516,9
6ac8da10-8ead-424e-9b87-613215fd7be4,981,57.03916776805148,45.31222048465728,13.541961904917343,7
eaf5a004-a523-4e42-be12-a663c6041a6c,194,69.22521700789616,55.11326548463183,89.91670748824147,4
9dc6e4e1-d1d2-43c2-9202-569d8b839474,322,46.844957522481046,0.1269234193271184,63.1222029118905,7
c5faa402-c5c8-455c-b1d7-39b715eb81aa,65,93.12539698204924,86.04476404215565,63.44992656041052,2
e116d2d2-5d54-42fa-895c-4aba96098de8,761,53.76005299040104,63.00922641066511,97.47390823494284,6
69ddc9ac-79d2-4b9d-a5a0-075a29b8a7fb,784,32.40193302486213,81.98045186642332,28.419274353423653,8
7c7cb934-6a96-4b74-b9fb-3b4f6c844cf9,sduj,28.55156681605453,42.50406044546028,38.60020345147975,4
448fc2e0-9dc2-4339-8d61-71437c66310c,439,51.99074547017059,49.412712191820354,83.86876392628305,4
c58dd46a-7aa1-4e01-8a94-f95d2f03aecd,516,76.26140729501563,48.0912822519644,96.12221093986253,3
e45e5f1c-5383-4936-b4e1-f6e7199ccf18,fMav,44.85960784637414,22.27459618563239,99.23803657980204,10
f0c6a6e9-8345-4fac-850b-179c210a4e5a,rrBu,86.15422604800293,81.5322863701596,96.37174038731152,10
9793c064-541d-4885-ad07-36085ae60c59,554,25.36031395642897,67.90769876620433,14.635348565962936,3
d063f949-e46c-499a-a95a-598f629b4a77,677,47.45057525231401,94.08533442532456,59.58071969587496,10
9e204972-4143-4cf4-9efd-a2e634cbbb0d,708,7.901632495437417,29.57604713171409,82.86098224270735,9
88ee9e77-db1c-4918-b055-aff119ad5800,526,23.760845771298843,60.69213672383399,6.1537892882776335,9
13508c3e-f458-4130-a06b-b9dc4d19e041,rxay,7.206579715871941,53.22518126243462,87.43651902239462,6
