id,size,speed,axis_ANGLE
baa56470-e2c1-4952-902b-0eec8a96200c,122,41.05168533805013,98.64074355883945
cbcdc352-e783-49eb-be81-bd247ebb778a,275,37.008866957760624,71.96821952317653
05bf887b-37ff-4877-96a3-361fa1fdd353,773,13.077490816667158,26.010821322613157
48ab32f0-bb69-440a-8a18-da6ef7148544,223,31.778805394040354,21.257286638702265
5f8d0be0-f21c-46c1-bd99-f3451cbf795a,875,7.363845519436696,66.42894208222859
405d93c1-b04a-42c6-a812-2120677088a3,436,60.11920663036713,56.771864451687
600ed814-9e8e-4904-8734-e309f34db0db,777,19.680756438759676,24.755752177696788
3cf23bb8-3510-497c-9e65-418358c71896,701,73.04167261977247,65.33563362607453
ad7ef240-78e5-4396-b31e-24a6c51e5a33,367,43.72880557224745,62.78723384229833
4dbe5504-ace8-485e-aeef-a57193f48f66,30,16.704056233332253,74.16084683610045
d2137bbb-ed44-41ff-b8bf-d39e03cb93e9,768,3.103982839754249,15.967530457905765
0f722ea7-506d-4747-a7ef-2b68fc71a04e,689,60.44960535354027,50.82068681632942
89866d21-282d-408d-88a0-8ae4af991332,994,85.45824003909334,88.14927781582301
c205d93d-ac8f-4dbc-a3c6-54aeefc9cd9c,462,22.341947838019927,17.547445601974133
7ad8a3ec-8569-4fc7-9024-a95318475eff,887,49.80854634449496,80.63263434419726
874e0d84-6f8c-430c-8ab1-61c4d328e71a,845,1.2769777947021057,42.50097100740764
937baa9f-295f-4faa-a10a-0268209649e8,801,7.951064623854743,62.69802390455352
3e88204a-56df-4aa1-b1bc-13cce939db08,572,18.783371688629003,11.72503343588457
3d94c422-1173-4fac-aa6a-43bd76743dd4,166,7.95197311049749,22.93848313610506
d5416c7d-a4da-41df-b5fb-b35d9294dd04,246,92.3937939251774,42.143717903365385
c8a1717a-a24e-4751-8415-bed8c64aa09a,659,15.774298713550936,3.499063458726725
257b61fb-037c-4343-8140-78a47a443ccc,310,24.29406435010292,92.205708777032
e2774afa-5f86-4219-b958-f843772e3d61,cjMu,28.37891168040824,10.345553570884093
57f56425-0f56-4922-bcbc-2a67f2556459,774,58.295227852119325,6.380736617735172
a4721d23-a610-48eb-b914-ad18c1e2e4e2,Hbyr,15.715413922969878,27.599016757743968
6ff777b7-cb28-4847-8064-bfb317a7218b,631,36.65772852877812,0.2206773200545631
0de62775-87b9-4ceb-9cf5-92487f828294,644,57.84527955192596,97.7740379195679
d628a6e9-d4b1-415f-af34-3ecc978bc211,jabf,93.1952495944951,65.79511992867222
073a564e-0d0c-4e43-a17b-eaa0095a3a2d,QRvd,41.40128184103149,40.85295188719916
1127d6fe-828d-4712-86fb-85beb247d5d7,200,93.05827651778962,54.266903605462566
29823fad-4043-432d-8fa8-55385e018131,244,21.40018453769459,39.29426238620864
f93e4093-63dd-4b2f-88a5-f040eac5a687,57,41.96171753488892,74.69351214248829
7d366ebf-571d-4d71-b448-f34c16ee41fc,agfu,75.82783427519902,27.901274721931426
4b8969d8-b905-4497-84c8-ca028b9088f8,902,8.95520418429575,90.36223919067228
b6a4848a-cde2-4a1f-817e-08c2ee600a93,934,13.207738771643973,14.11532181233872
91d840a5-7c3e-41ae-91fc-24f618c2749c,rehl,42.5486369720444,90.99997707059936
6ee00101-ea2d-473a-a977-9280a57074b4,878,9.070795645730934,88.63250917698966
96b5ee6a-30d7-4712-af59-4ae8e4aab126,453,96.7091969257745,29.06563876165841
e6a86785-c839-47f9-ab3d-f3135b944a9a,672,29.874698602676407,84.46312386413983
e989ff9f-8b9d-4d2c-8442-81633edefb54,341,61.338820738676525,3.4446296238411667
6ab3a184-8229-499c-8f62-586ebb3e8855,415,62.476187321562016,1.5565845284582491
9cd41abb-a1df-46f2-98c4-c2b048d130d3,522,23.544157624605567,36.04705604674621
7a975a9c-62f3-45c1-b962-c5206e0cab0f,Rvhj,1.3776599594279793,40.45380458119515
3c916be9-b944-431f-bf1d-1761f6b225eb,36,55.755841715029945,50.3441679971009
760e2658-04bd-432e-8186-638fc7b5eb44,928,73.25526819409255,9.2568786196208
3acfaca4-a3a0-4e8c-94ba-b9af881c44c3,zpZi,53.14817984173854,92.35970430772107
7efb1d17-a625-496f-982a-9be71a0cea6b,164,83.27960901645032,19.78526886317568
d764a18f-fb25-48ae-bc87-21250ff17304,Etxn,35.656946709650306,72.79346592105165
69aa268b-8bde-4172-a15a-631690143c36,538,57.73070694215357,2.5961846291412294
0b530243-8118-46fa-abe9-19432ba5b1f9,415,26.41314020816288,81.81454403841555
7166a179-956e-4ce2-9fa1-b3d95161b697,502,53.2379868208981,33.200451784090056
db6c5271-8ed3-4f99-8759-41b2f88eea07,691,71.15068166106447,10.741480495640454
513ce6ff-15e5-4d6c-80c3-f7ef0ee22f6b,314,23.54040094703549,43.56113828553703
4237f9c2-9fe4-4c9a-a33d-f89eabd3dc8d,8,16.919992318332856,97.0946061180578
6c478caf-7cad-43b4-addc-c12f4e2b1db0,655,47.98708888680008,5.506010719658738
0a76bd04-852e-4d6d-862e-6b50c851adca,369,8.06650468804877,75.77360269913402
538d63f0-ce0b-49d0-9eea-17d72b12a04d,WJls,15.69772171713112,88.73846153790966
fcb0a783-8b4b-47b7-bca8-e6838d330177,136,80.95761813282401,99.03664182528308
f9f3300d-5f6c-436a-b020-2b303f88a619,703,93.18766387157106,26.740665773654623
5f93ba73-2cbe-4550-b7cf-698c3287d26d,450,53.6084749622668,28.441588427438457
6b8445fb-e970-4da6-9fae-4c06df14e65b,697,32.57187871421701,27.976558781518136
387b813e-8667-4034-84ee-85752066f6f7,367,80.15933471271838,11.50114200061032
2bd7c8f0-3c3a-48a9-8281-7106bdc20604,157,21.08768349861947,45.08123108819102
c3fce399-136d-47ee-a46f-e52645bc4812,Amnv,71.71548664012441,21.065087480880017
651a9e9c-be15-4df1-959e-7b98154abf12,956,3.736311893013156,50.64565002563924
21db03de-cea0-4aa0-a444-a9de6c66f506,586,58.31993627902561,73.27905927530334
403fa52c-59aa-4b12-ac8a-766199fc3175,400,77.02091960075673,32.89509211534618
f4e301a8-d366-4bdc-8973-16e49f453622,611,30.75791821728221,31.217872175656915
3bf03379-cb81-434c-8bf3-34bf8dfa00ca,73,54.075248646643146,62.40212357270529
